comment_text,comment_author,comment_author_url,comment_author_image,comment_published_at,comment_published_at_unix,comment_like_count,comment_id,comment_parent_id,comment_sentiment
Well said and observed Peter. Your takeaways from your Uncle Bill mixed with Alex are very valuable and impressive. I appreciate your in depth explanation and comparisons of the old and new business strategies and how similar they really are under the umbrella.,Jason Rumsey,http://www.youtube.com/channel/UChWtZ08GRMC8llo7dUjUqCg,https://yt3.ggpht.com/ytc/AGIKgqOQjRhWe3lT2MoFKuMN4VMNFnRdT8W1Fbudp8ZndY2XeZFZYt_BLh1fIIOPq3s6=s48-c-k-c0x00ffffff-no-rj,2023-04-07T13:37:40Z,1680867460,0,UgxITbxbnNtrk2mHvKF4AaABAg,UgxITbxbnNtrk2mHvKF4AaABAg,0
Im glad you liked the video Jason! Thanks for commenting.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-04-08T13:09:37Z,1680952177,0,UgxITbxbnNtrk2mHvKF4AaABAg.9oCf5FILton9oFBfohFikc,UgxITbxbnNtrk2mHvKF4AaABAg,0
"Great video. The power of networking is definitely understated. Growing up I always wanted raw skill to purely determine success, but the reality is networking is a huge factor. Your skill matters because no one will stick around if you advertise it and it’s bad, but also if you don’t advertise it (/network) it won’t have as much spread as it could have. Similar to what you said. Good video!",Will Hunt,http://www.youtube.com/channel/UC1JKRmyQat8L1GrbXBuwIKQ,https://yt3.ggpht.com/ytc/AGIKgqOhkq4bRaWv1jO0E3JLfg_IhVnruOwURzGQT2a48A=s48-c-k-c0x00ffffff-no-rj,2023-03-28T04:24:42Z,1679970282,8,UgxbF4rL0RrSr_bz0Al4AaABAg,UgxbF4rL0RrSr_bz0Al4AaABAg,0
Well said! Thanks Will!,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-28T05:03:44Z,1679972624,0,UgxbF4rL0RrSr_bz0Al4AaABAg.9nmvrYfIeZV9nn-KT3MDx6,UgxbF4rL0RrSr_bz0Al4AaABAg,0
"Its very difficult to incorporate old business with new business. People go to an app or website, see a bunch of listings, and pick one to buy. Only ways you can really incorporate the human aspect is in your descriptions where you can paint a story on why they should buy, or customer service. Customer service is almost unheard of with modern business, but I think its key to really stand out. The difficulty is in the scale. Old business was more local while new business is global. You could receive millions of questions and its just impossible to answer them all",Team Shmo,http://www.youtube.com/channel/UCARg4DOWOBR5igdcRGpRiZg,https://yt3.ggpht.com/ytc/AGIKgqM-QEoXH7-QYfFU9f0x7tXND-9a9vRe4dZ8-Mlb=s48-c-k-c0x00ffffff-no-rj,2023-03-24T01:46:45Z,1679618805,10,Ugy2GpiH2Ciu-nGv75N4AaABAg,Ugy2GpiH2Ciu-nGv75N4AaABAg,0
"Its only impossible when you view customer service as an afterthought. Outsourcing this relationship to a call center in Asia is a like drinking poison when youre sick to hopefully make you better. Relationships at scale is possible when you effectively communicate that as the most important part to your team. Thanks for the comment, I think youre right on the local vs global part. And also I agree certain things should be automated, but then you should use all the time youve saved on the getting a customer to transact, and use it to develop a relationship. Its essentially applying paretos law of 80/20 to relationships in business.",Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-24T18:02:23Z,1679677343,4,Ugy2GpiH2Ciu-nGv75N4AaABAg.9ncLb8PA35f9ne5FrguOAE,Ugy2GpiH2Ciu-nGv75N4AaABAg,0
"Hey I really loved the vid man, personally Hormozi changed my perspective on life as a whole. Especially with his detailed breakdown on how Chick-fila’s OLD business tradition has brought them to the level they are today. Keep up the great work brother !",Nipshägen,http://www.youtube.com/channel/UCKzeWNxhyvEOxKaCdFkjO9w,https://yt3.ggpht.com/ykkCIiq-SqNDGWP5Gib4vVvu1C8E0m2AEx6VHd3KQTOsFzEUgpZXLGJCzNDdk5PCopiFlYNwsS8=s48-c-k-c0x00ffffff-no-rj,2023-03-18T11:24:28Z,1679135068,23,UgwtDwT77MntKeEiOl54AaABAg,UgwtDwT77MntKeEiOl54AaABAg,0
"Thanks for taking the time to comment Lloyd! Appreciate the insight, Ive been able to gain a lot from Alexs videos,",Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-18T15:25:31Z,1679149531,1,UgwtDwT77MntKeEiOl54AaABAg.9nOvx9TdjEu9nPMXjR9vVz,UgwtDwT77MntKeEiOl54AaABAg,0
"Great video Peter. Alex Hormozi has helped me realize that business is simply the exchange of value. Those who provide more value, always win in the end.",Culture Screen,http://www.youtube.com/channel/UCaY-racvvUqP5QxqUGNuXJQ,https://yt3.ggpht.com/wntLSnJbSTLUyK-yChepwur0to9gXjN97HueB1xTKUNemRL3nGUA48rKfcE3zJr1LwgvjauGKg=s48-c-k-c0x00ffffff-no-rj,2023-04-01T19:12:42Z,1680369162,0,Ugz2zVntjkhZhoAkTAh4AaABAg,Ugz2zVntjkhZhoAkTAh4AaABAg,0
Great summary. Thanks for the comment!,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-04-01T19:14:49Z,1680369289,0,Ugz2zVntjkhZhoAkTAh4AaABAg.9nyoevfRkSe9nyouQXuRYK,Ugz2zVntjkhZhoAkTAh4AaABAg,0
"Smart that youre listening and learning from the OGs like your uncle.  Sage advice. Its def all about people, experiences and our interactions with each other. Data discounts all that. We, in turn, discount data (but most cant articulate or understand why).You nailed it. New subscriber here.  Good stuff.",Carlos Rosario,http://www.youtube.com/channel/UCD0XJ8Gqpk1H4RSoSbYiiUw,https://yt3.ggpht.com/ytc/AGIKgqP16rKIi2rZqLl6zZ--8qgelWFvAY716YtVD2hNCrA=s48-c-k-c0x00ffffff-no-rj,2023-03-30T14:23:10Z,1680178990,2,UgxsBU4qlaZ3hjfTRXV4AaABAg,UgxsBU4qlaZ3hjfTRXV4AaABAg,0
Thanks Carlos for articulating that. When we get too far removed from the people in our business we have lost the point of it all.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-30T14:47:27Z,1680180447,1,UgxsBU4qlaZ3hjfTRXV4AaABAg.9nt8wUyfiF49ntBiPwmxoJ,UgxsBU4qlaZ3hjfTRXV4AaABAg,0
Great content Peter. Keep up the good work my man 💪🏾,FitforLife,http://www.youtube.com/channel/UCf1DzSNWosU1DZ_6ntQtmdg,https://yt3.ggpht.com/ytc/AGIKgqOvqAKuqxbXquq08dCNd4luiToHi_YwNbrqg2gf=s48-c-k-c0x00ffffff-no-rj,2023-04-02T00:48:08Z,1680389288,0,UgzWdSXL5ynNXLXGG4p4AaABAg,UgzWdSXL5ynNXLXGG4p4AaABAg,0
Thanks man!,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-04-02T18:57:57Z,1680454677,0,UgzWdSXL5ynNXLXGG4p4AaABAg.9nzQ2fmD27s9o0MlnJUcRo,UgzWdSXL5ynNXLXGG4p4AaABAg,0
This video will help a lot of the younger generation. You preach a lot of the core values I learned from old business books from back in the day. Keep up the great work Peter! VALUE VALUE VALUE!,Started Broke,http://www.youtube.com/channel/UChllKg5uC5JHEgQCJV6V4TQ,https://yt3.ggpht.com/ytc/AGIKgqP8lC8Aa86bFBCYuodMFlEM6wBzBnPxuW_rQ8hB1w=s48-c-k-c0x00ffffff-no-rj,2023-03-30T22:38:23Z,1680208703,0,UgxvjYeWFavmWngsAMl4AaABAg,UgxvjYeWFavmWngsAMl4AaABAg,0
"You’re the man, thanks for the encouraging comment!",Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-31T01:31:14Z,1680219074,0,UgxvjYeWFavmWngsAMl4AaABAg.9nu1bbF759R9nuLOecBoC4,UgxvjYeWFavmWngsAMl4AaABAg,0
"2 stories, lots of engaging editing and captions, and a lot of value in the information! 10/10 video!",Gabeinthebox,http://www.youtube.com/channel/UC0u2nCO3O0cHVeXPRdirb6Q,https://yt3.ggpht.com/icGIJbYwHetilQ_erZuLQU39c9273lKnOYR-_k510UAdTTmAYBdzdz6MQZAvn6kqbFj6HKRncA=s48-c-k-c0x00ffffff-no-rj,2023-04-08T15:16:29Z,1680959789,0,UgwclRDI8QtpklkmAEJ4AaABAg,UgwclRDI8QtpklkmAEJ4AaABAg,0
Thanks Gabe! I appreciate the feedback.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-04-08T23:59:49Z,1680991189,0,UgwclRDI8QtpklkmAEJ4AaABAg.9oFQBx6rCWk9oGM5-uMExi,UgwclRDI8QtpklkmAEJ4AaABAg,0
"Seriously keep it up, this video genuinely shifted the way I think about business from a philosophical perspective. Thanks for this gem cant wait for the next one.",Omar Geraldo,http://www.youtube.com/channel/UCsYYWdFaq86gWx7KnH8B5aQ,https://yt3.ggpht.com/ytc/AGIKgqOfTp3rqX53vST43nW8lfCGgbEOa8w2XDEcDv9j-g=s48-c-k-c0x00ffffff-no-rj,2023-03-18T16:37:56Z,1679153876,8,Ugw4qE-dB_tAg2u6Rul4AaABAg,Ugw4qE-dB_tAg2u6Rul4AaABAg,0
"thanks for taking the time to comment Omar, after reading youre comment Im genuinely excited to make more videos about the things Im learning now that youre watching! more to come!",Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-18T17:55:32Z,1679158532,1,Ugw4qE-dB_tAg2u6Rul4AaABAg.9nPUp40EqI69nPchWzx7CR,Ugw4qE-dB_tAg2u6Rul4AaABAg,0
Subbed. Glad someone could summarize Alex Hormozis whole process in such a clean way,John Donson,http://www.youtube.com/channel/UCL2eRKblGCBNG1g4ufg2REQ,https://yt3.ggpht.com/ytc/AGIKgqOxRq6TtL457a3QxLexBibpZGSzDmuFeMixEl4OEg=s48-c-k-c0x00ffffff-no-rj,2023-03-30T22:36:41Z,1680208601,1,UgzYRSnKyNoPLZQp5DZ4AaABAg,UgzYRSnKyNoPLZQp5DZ4AaABAg,0
Thanks for the sub John.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-31T01:30:00Z,1680219000,0,UgzYRSnKyNoPLZQp5DZ4AaABAg.9nu1Q7DSqUv9nuLE_RVP04,UgzYRSnKyNoPLZQp5DZ4AaABAg,0
"I love Hormozi too and hes really been a positive influence on me in terms of understanding people and business, this was an amazing one 👌🏾",Praise Frank,http://www.youtube.com/channel/UCIRa1DQ1ZI25LxH3-2ukFJQ,https://yt3.ggpht.com/NXH9s-Rye8peBfZZskj23W3kGK23RYkoHO0jJJZN822U7K9mxiTkl5iScMubkTSHdQLDR6d8lw=s48-c-k-c0x00ffffff-no-rj,2023-03-18T15:58:47Z,1679151527,6,Ugy2riAiGpCtZDogE3V4AaABAg,Ugy2riAiGpCtZDogE3V4AaABAg,0
youre the man.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-18T17:55:46Z,1679158546,0,Ugy2riAiGpCtZDogE3V4AaABAg.9nPQLNZfPrx9nPcjDJmBy3,Ugy2riAiGpCtZDogE3V4AaABAg,0
"Alex was doing the same as most give, give, give, then ask. Thats how he ran his first business which he wrote the gym secrete books to get people into the door. Now he is looking at a different target audience: successful startups at $3m who want to scale up. So now he gives free info to help you get to the $3m mark and then partners with you to get a percentage. You covered the overall idea of how he got the idea. This is right out of the business of the 21st-century book. So basically building a portfolio of high-income businesses that the owners get to run themselves. Almost like shark tank but more subtle. Pretty smart",L0ngstrip,http://www.youtube.com/channel/UCXDm3aLFr0A2NnmIp4Py0Vg,https://yt3.ggpht.com/ytc/AGIKgqPteFgoQY9Ubx2BcXu4VagZryj_59vfX8Ojf34D=s48-c-k-c0x00ffffff-no-rj,2023-03-25T06:32:18Z,1679722338,17,UgwatVT-FyLd6XycjUx4AaABAg,UgwatVT-FyLd6XycjUx4AaABAg,0
I believe that is very similar to Marquel Russell client attraction university,Blackheart Savage,http://www.youtube.com/channel/UC0bRpSAG18jFjHShzPS5UeQ,https://yt3.ggpht.com/ytc/AGIKgqNRfyY9qRF3y89CJeKczUrTEOD2iV75Pftj8qUoYw=s48-c-k-c0x00ffffff-no-rj,2023-03-25T21:28:21Z,1679776101,0,UgwatVT-FyLd6XycjUx4AaABAg.9nfR4VFmyKi9nh1cOjSa3c,UgwatVT-FyLd6XycjUx4AaABAg,0
@Peter MacDonald it really is! Others have been implementing it. This model is straight from the network marketing model.,L0ngstrip,http://www.youtube.com/channel/UCXDm3aLFr0A2NnmIp4Py0Vg,https://yt3.ggpht.com/ytc/AGIKgqPteFgoQY9Ubx2BcXu4VagZryj_59vfX8Ojf34D=s48-c-k-c0x00ffffff-no-rj,2023-03-25T18:38:44Z,1679765924,0,UgwatVT-FyLd6XycjUx4AaABAg.9nfR4VFmyKi9ngjCzwam5T,UgwatVT-FyLd6XycjUx4AaABAg,0
It is a very smart model. I think more will adopt it as time goes on.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-25T11:48:03Z,1679741283,2,UgwatVT-FyLd6XycjUx4AaABAg.9nfR4VFmyKi9ng-D4-5Lkd,UgwatVT-FyLd6XycjUx4AaABAg,0
Very cool video. Sharing what your uncle has taught you is very interesting to listen to.,S M,http://www.youtube.com/channel/UCydvsD9LAcBqNyvUrpudx_A,https://yt3.ggpht.com/ytc/AGIKgqMJGz88gYcWz8QUB3euC_S09NJkFRmuWqsoZQ=s48-c-k-c0x00ffffff-no-rj,2023-04-04T12:41:55Z,1680604915,0,UgzAYviN61RASCkfrFN4AaABAg,UgzAYviN61RASCkfrFN4AaABAg,0
"Great content for your channel size both from an information and presentation standpoint, solid work man keep it up!",hey there,http://www.youtube.com/channel/UCa2zXwWEglJ46D3SqNOmTGQ,https://yt3.ggpht.com/anCbYehGz6LwCgVPomPaCfNZOFBxAfbt8XeBGHnDMFcakIpcLu-EAxqAkeIL1VFa5dcJvRTz=s48-c-k-c0x00ffffff-no-rj,2023-03-24T17:41:04Z,1679676064,5,Ugypd9LaY1XuaMtuIqV4AaABAg,Ugypd9LaY1XuaMtuIqV4AaABAg,0
"Thanks man, much appreciated.",Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-24T17:48:46Z,1679676526,2,Ugypd9LaY1XuaMtuIqV4AaABAg.9ne2oiM8Nfd9ne3h7kdmNx,Ugypd9LaY1XuaMtuIqV4AaABAg,0
"Great video! You appeared in my feed. I also want to add and give props to his kick ass wife Leila. My husband and I have a very successful business together, 11 years, and often people dont realize how one half influences and supports the other. Not taking anything away here so dont get me wrong...there are a lot of variables that go into success. Love your vibe and nice clean video!",Melinda Van Fleet | Achieve Your Dream Life Mentor,http://www.youtube.com/channel/UCrJOVOytOhi7yjcibU6o26g,https://yt3.ggpht.com/P2NMyvWJB6k1qNhrheDucOui_ddr_OCA0M7lh7wKxZlljUqQot6LBZm8Z0-dLpW56p8lKMbw0yM=s48-c-k-c0x00ffffff-no-rj,2023-03-22T12:16:28Z,1679483788,11,UgxaI_1W3qDcOfoFWdR4AaABAg,UgxaI_1W3qDcOfoFWdR4AaABAg,0
I have been married for 19 years and this is so true!!,JIU-JITSU HUSTLE,http://www.youtube.com/channel/UCTm_hcFyiktjpsSVVhAlwfQ,https://yt3.ggpht.com/jKoA8zh0xjHSQlE-MXyOCCiH9XpP1KknuQ9U_gjWnwNHDN54LpAA4e1twQ68M6u8DjAWoyBROg=s48-c-k-c0x00ffffff-no-rj,2023-03-25T08:03:40Z,1679727820,0,UgxaI_1W3qDcOfoFWdR4AaABAg.9nZK4aMrcg79nfaXgPo5IU,UgxaI_1W3qDcOfoFWdR4AaABAg,0
Thank you Melinda! No doubt Leila plays a huge role in Alex’s success. Thanks for the comment.,Peter MacDonald,http://www.youtube.com/channel/UCazh752ppZQv2YLqtukwb_g,https://yt3.ggpht.com/TX1trtrdyFegzo2jMjF5lnNhS_Hdl0LM4RO5CnOnQQByD9HRTbcdD2HKAtR0wW5Zcj8jcIaM5A=s48-c-k-c0x00ffffff-no-rj,2023-03-22T18:07:05Z,1679504825,0,UgxaI_1W3qDcOfoFWdR4AaABAg.9nZK4aMrcg79nZxCXeML6D,UgxaI_1W3qDcOfoFWdR4AaABAg,0
"Didn’t realize you had 50 subs, it really looks like a high production channel. Good video man !",𝕖𝕝 𝕘𝕦𝕖𝕧𝕒𝕣𝕒,http://www.youtube.com/channel/UCRZVB6ddyTd1YU3lzHkESog,https://yt3.ggpht.com/pKDVTpV9oe8RWQ4fT5aAZ5QR6vMZ47Hfgx_pWInP48qD_zojKKu6aNuPXBTx_7dUtUkhZ-xU=s48-c-k-c0x00ffffff-no-rj,2023-03-18T09:04:39Z,1679126679,192,UgwmI1XiflCxCoNi3Cl4AaABAg,UgwmI1XiflCxCoNi3Cl4AaABAg,0
"Dude, you gained over 2k subs in 2 weeks!! Holy shit!",RAJU C,http://www.youtube.com/channel/UCsV6Jn0sOdbfKGKUZobrQDA,https://yt3.ggpht.com/ytc/AGIKgqMH0OXaTTqEnz15r5F3DhI5IxVMWpjCQEWqjQ=s48-c-k-c0x00ffffff-no-rj,2023-04-01T16:53:04Z,1680360784,0,UgwmI1XiflCxCoNi3Cl4AaABAg.9nOfxBBMBNt9nyZgIpiof2,UgwmI1XiflCxCoNi3Cl4AaABAg,0
This is aging beautifully,getyaw8up,http://www.youtube.com/channel/UCPSvBFN0bCiwVhirB-CDhZg,https://yt3.ggpht.com/ytc/AGIKgqMOrc98QfTzK4KRIPVUfIq-8sVO9Zk4WstM_U65=s48-c-k-c0x00ffffff-no-rj,2023-03-31T00:27:11Z,1680215231,1,UgwmI1XiflCxCoNi3Cl4AaABAg.9nOfxBBMBNt9nuE3X2gMBT,UgwmI1XiflCxCoNi3Cl4AaABAg,0
Hoping I can grow my channel too.,bbb888,http://www.youtube.com/channel/UCG9wCY0g1zQV4GtKgMmpoKg,https://yt3.ggpht.com/ilpFGoNWvVJxXD_jPYW1dMjJ2UOAaHzZl9-QKYFp8v78iIk7xkSjVYOO3ru7d4BLJdjzAEIvxg=s48-c-k-c0x00ffffff-no-rj,2023-03-29T02:01:16Z,1680048076,1,UgwmI1XiflCxCoNi3Cl4AaABAg.9nOfxBBMBNt9npFEr1dYr9,UgwmI1XiflCxCoNi3Cl4AaABAg,0
